hs_id,hs_name,front_url,side_url
HS30,Shoulder Length,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS30_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS30_side.jpg
HS31,Skin Fade Short Top,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS31_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS31_side.jpg
HS32,Slick Back,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS32_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS32_side.jpg
HS33,Surfer Waves,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS33_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS33_side.jpg
HS34,Textured Crop,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS34_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS34_side.jpg
HS35,Textured Quiff,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS35_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS35_side.jpg
HS36,Top Knot,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS36_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS36_side.jpg
HS37,Undercut,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS37_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS37_side.jpg
HS38,Undercut Long Top,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS38_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS38_side.jpg
HS39,Wavy Shag,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS39_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS39_side.jpg
HS40,Wavy Side Part,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS40_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS40_side.jpg
HS41,Wavy Textured Crop,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS41_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS41_side.jpg
HS42,Wavy Wolf Cut,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS42_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS42_side.jpg
